sku,detalle,costo,venta,desde,hasta,empresa_id
40400029435,"JUGO NECTAR NARANJA LIGHT WATTS PET 1,5",795,1161,1-9-2020,2-12-2020,3
40400029440,JALEA LIMON MACROFOOD 1KG,2025,2957,1-9-2020,2-12-2020,3
40400029543,Refresco Damasco 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029544,Refresco Durazno 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029545,Refresco Frambuesa 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029546,Refresco Frutilla 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029547,Refresco Manzana 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029548,Refresco Melon tuna 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029550,Refresco Naranja 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029551,Refresco Papaya 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029552,Refresco Piña 35gr Sprim UN,970,1416,1-9-2020,2-12-2020,3
40400029670,Caldo concentrado costilla Macrofood kg,2435,3555,1-9-2020,2-12-2020,3
40400029723,Harina Integral Selecta KG,1065,1555,1-9-2020,2-12-2020,3
40400029795,CARNE MOLIDA VAC 6% CONG S_PATAGONICOS,3816,5571,1-9-2020,2-12-2020,3
40400029801,ABASTERO VAC VACIO INTERANDINA KG,4722,6894,1-9-2020,2-12-2020,3
40400029802,ASIENTO VAC VACIO INTERANDINA KG,6139,8963,1-9-2020,2-12-2020,3
40400029974,ARVEJA PARTIDA BONANZA KG,1389,2028,1-9-2020,2-12-2020,3
40400030030,YOG AMERICANO FRUTILLA SOPROLE 155GR,320,467,1-9-2020,2-12-2020,3
40400030031,YOG AMERICANO MORA SOPROLE 155GR,320,467,1-9-2020,2-12-2020,3
40400030060,MAYONESA LIGHT HELLMANNS 380G,933,1362,1-9-2020,2-12-2020,3
40400030062,MAYONESA HELLMANNS 372G,903,1318,1-9-2020,2-12-2020,3
40400030146,AVENA INSTANTANEA QUAKER 900GR,2052,2996,1-9-2020,2-12-2020,3
40400030397,CHURRASCO VAC POSTA 100 GR S_PATAGONICOS,4666,6812,1-9-2020,2-12-2020,3
40400030440,"PAPA PREFRITA 11MM ALIFRUT 2,5KG",2115,3088,1-9-2020,2-12-2020,3
40400030452,MANJARATE TRADICIONAL ENV 80GRS,340,496,1-9-2020,2-12-2020,3
40400031112,ACEITUNA NEGRA ENTERA EXCELENCIA 950G,2948,4304,1-9-2020,2-12-2020,3
40400031321,ARROZ G1 FOOD SERVICE TUCAPEL 2KG,2527,3689,1-9-2020,2-12-2020,3
40400031692,MANGO CONG TROZO ALIFRUT KG,2733,3990,1-9-2020,2-12-2020,3
40400031824,YOG LIGHT COLUN FRUTILLA 125G,145,212,1-9-2020,2-12-2020,3
40400031825,YOG LIGHT COLUN PAPAYA 125G,145,212,1-9-2020,2-12-2020,3
40400031826,YOG LIGHT COLUN DAMASCO 125G,145,212,1-9-2020,2-12-2020,3
40400031828,YOG LIGHT COLUN FRAMBUESA 125G,145,212,1-9-2020,2-12-2020,3
40400031829,YOG LIGHT COLUN VAINILLA 125G,145,212,1-9-2020,2-12-2020,3
40400031904,CHAMPIGNON LAM FRIZADO ALIFRUT KG,1214,1772,1-9-2020,2-12-2020,3
40400031990,CAMARON IMP 100/200 COCIDO PELADO KG,7698,11239,1-9-2020,2-12-2020,3
40400032098,AZUCAR FLOR PURATO KG,1587,2317,1-9-2020,2-12-2020,3
